asset_id,asset_type,business_unit,internet_exposed,asset_criticality,data_sensitivity,revenue_dependency
AST-000056,Cloud_Storage,Operations,0,2,1,Medium
AST-000057,Server,Marketing,0,2,2,Medium
AST-000058,Server,Operations,0,3,2,High
AST-000059,Server,Marketing,0,1,1,Low
AST-000060,Database,Finance,0,2,1,Low
AST-000061,Database,Sales,0,1,1,Low
AST-000062,Server,Finance,0,1,1,Medium
AST-000063,Network_Device,Engineering,0,2,3,High
AST-000064,Database,Operations,1,1,2,Low
AST-000065,Server,HR,1,1,2,Low
AST-000066,Workstation,Engineering,0,3,1,Low
AST-000067,Server,Engineering,0,2,1,High
AST-000068,Network_Device,Operations,1,1,1,Medium
AST-000069,Server,Marketing,1,2,1,Medium
AST-000070,Cloud_Storage,Engineering,0,1,2,Low
AST-000071,Workstation,Sales,0,1,3,Critical
AST-000072,Server,Engineering,0,2,1,Low
AST-000073,Server,Sales,0,1,2,Medium
AST-000074,Network_Device,Finance,0,5,1,Medium
AST-000075,Workstation,Marketing,1,1,1,Low
AST-000076,Workstation,Sales,0,3,1,Medium
AST-000077,Workstation,Engineering,0,3,2,High
AST-000078,Server,Marketing,1,5,1,High
AST-000079,Database,Marketing,1,2,1,Medium
AST-000080,Server,Sales,1,4,2,High
AST-000081,Network_Device,Sales,1,5,2,Critical
AST-000082,Workstation,HR,0,1,1,Low
AST-000083,Database,HR,1,2,2,High
AST-000084,Server,Marketing,1,1,2,Medium
AST-000085,Database,Operations,0,2,1,Medium
AST-000086,Database,Operations,0,2,2,Medium
AST-000087,Workstation,HR,0,1,1,Low
AST-000088,Workstation,Engineering,1,3,2,High
AST-000089,Network_Device,Finance,0,1,3,High
AST-000090,Workstation,Marketing,0,3,1,Medium
AST-000091,Server,Finance,0,1,1,Low
AST-000092,Workstation,HR,0,2,1,Low
AST-000093,Workstation,Sales,0,1,1,Low
AST-000094,Workstation,Marketing,0,1,1,Low
AST-000095,Workstation,HR,1,3,2,Medium
AST-000096,Workstation,Engineering,0,1,1,Low
AST-000097,Workstation,Marketing,0,2,1,Low
AST-000098,Workstation,Marketing,0,4,2,Critical
AST-000099,Server,Operations,0,1,2,Medium
AST-000100,Server,Sales,0,3,1,Medium
AST-000101,Server,Marketing,0,1,2,Medium
AST-000102,Workstation,Sales,0,1,3,High
AST-000103,Database,HR,0,1,1,Low
AST-000104,Workstation,Engineering,0,5,1,Critical
AST-000105,Cloud_Storage,Engineering,0,1,2,Medium
AST-000106,Server,Marketing,0,4,2,Critical
AST-000107,Workstation,Marketing,0,5,1,Critical
AST-000108,Workstation,HR,0,1,1,Low
AST-000109,Server,Operations,1,2,2,Low
AST-000110,Server,Operations,1,3,4,Critical
AST-000111,Server,Operations,0,1,2,Medium
AST-000112,Server,Sales,0,1,4,High
AST-000113,Cloud_Storage,Operations,0,2,2,High
AST-000114,Network_Device,Engineering,0,3,3,High
AST-000115,Workstation,Sales,1,3,2,High
AST-000116,Network_Device,HR,1,1,3,Medium
AST-000117,Network_Device,Engineering,1,1,1,Low
AST-000118,Server,Engineering,1,4,3,Critical
AST-000119,Network_Device,Finance,1,1,1,Low
AST-000120,Workstation,HR,0,3,1,Medium
AST-000121,Network_Device,HR,0,1,2,Low
AST-000122,Network_Device,Finance,1,3,1,Medium
AST-000123,Database,Sales,0,4,1,High
AST-000124,Server,Operations,0,1,4,Medium
AST-000125,Server,Operations,0,1,2,Medium
AST-000126,Workstation,Operations,1,2,3,Medium
AST-000127,Network_Device,Operations,0,1,4,High
AST-000128,Network_Device,Operations,0,2,1,Medium
AST-000129,Server,Finance,1,2,1,Low
AST-000130,Workstation,HR,1,1,1,Low
AST-000131,Workstation,Sales,1,1,2,Medium
AST-000132,Server,Engineering,0,3,2,High
AST-000133,Server,Operations,0,2,1,Low
AST-000134,Database,Finance,1,1,1,Low
AST-000135,Cloud_Storage,Sales,0,2,1,Medium
AST-000136,Database,Sales,0,3,1,High
AST-000137,Workstation,Sales,0,2,1,Medium
AST-000138,Workstation,Finance,0,1,3,Medium
AST-000139,Database,Engineering,0,1,1,Low
AST-000140,Cloud_Storage,Operations,0,3,1,High
AST-000141,Cloud_Storage,Sales,0,3,1,Medium
AST-000142,Server,Finance,1,2,2,Medium
AST-000143,Workstation,HR,0,1,1,Low
AST-000144,Database,Finance,0,2,1,Medium
AST-000145,Server,Finance,0,3,2,High
AST-000146,Server,Finance,0,1,3,Medium
AST-000147,Workstation,Sales,1,1,3,Medium
AST-000148,Workstation,Finance,0,2,1,Low
AST-000149,Server,HR,1,3,2,High
AST-000150,Server,Sales,0,1,1,Low
AST-000151,Cloud_Storage,HR,0,2,1,Low
AST-000152,Server,Marketing,0,2,1,Low
AST-000153,Server,Finance,0,2,1,Medium
AST-000154,Workstation,Operations,0,2,2,High
AST-000155,Cloud_Storage,Operations,0,2,3,Medium
AST-000156,Server,Sales,0,1,1,Low
AST-000157,Workstation,Operations,1,1,1,Medium
AST-000158,Workstation,Sales,1,2,1,Low
AST-000159,Server,Finance,0,1,2,Medium
AST-000160,Workstation,Engineering,0,2,3,High
AST-000161,Database,Engineering,0,2,3,High
AST-000162,Workstation,HR,1,1,2,Medium
AST-000163,Workstation,Finance,0,2,1,Medium
AST-000164,Workstation,Operations,0,2,2,High
AST-000165,Server,Finance,0,1,1,Low
AST-000166,Network_Device,Marketing,0,2,4,High
AST-000167,Database,Engineering,0,4,1,High
AST-000168,Server,Operations,0,2,2,Medium
AST-000169,Server,Engineering,1,2,1,Medium
AST-000170,Workstation,Finance,1,1,1,Medium
AST-000171,Workstation,Operations,0,1,2,Medium
AST-000172,Server,HR,0,1,2,Low
AST-000173,Workstation,Finance,0,3,2,High
AST-000174,Server,HR,1,1,2,Low
AST-000175,Workstation,Operations,1,1,1,Medium
AST-000176,Server,Engineering,0,3,3,High
AST-000177,Workstation,Marketing,0,1,3,Medium
AST-000178,Database,Sales,0,1,1,Low
AST-000179,Cloud_Storage,Engineering,0,2,3,Medium
AST-000180,Server,HR,0,1,4,High
AST-000181,Database,Finance,1,2,2,Medium
AST-000182,Server,Operations,0,1,1,Low
AST-000183,Cloud_Storage,Engineering,0,1,2,Medium
AST-000184,Network_Device,Marketing,1,4,1,Medium
AST-000185,Server,Operations,0,4,2,Critical
AST-000186,Workstation,HR,1,3,2,Medium
AST-000187,Network_Device,Operations,0,4,3,High
AST-000188,Workstation,Operations,1,2,2,Medium
AST-000189,Workstation,Finance,0,2,1,Medium
AST-000190,Server,Sales,0,2,2,Medium
AST-000191,Server,HR,0,3,1,High
AST-000192,Network_Device,Finance,0,2,1,Low
AST-000193,Cloud_Storage,Sales,0,1,1,Low
AST-000194,Workstation,Finance,1,3,1,Medium
AST-000195,Database,Sales,1,3,4,High
AST-000196,Database,Sales,0,3,2,Medium
AST-000197,Workstation,Sales,0,1,2,Medium
AST-000198,Network_Device,Finance,1,1,1,Medium
AST-000199,Network_Device,Operations,1,1,2,Medium
AST-000200,Workstation,Sales,0,2,2,Medium
AST-000201,Workstation,Operations,1,1,1,Low
AST-000202,Server,HR,0,1,4,High
AST-000203,Server,Marketing,0,1,1,Low
AST-000204,Network_Device,Operations,0,1,2,Medium
AST-000205,Workstation,Marketing,1,3,1,Medium
AST-000206,Server,Sales,0,4,1,High
AST-000207,Server,Marketing,0,1,3,High
AST-000208,Workstation,Marketing,0,2,2,Medium
AST-000209,Server,Sales,0,1,2,Medium
AST-000210,Server,Operations,0,1,3,Medium
AST-000211,Workstation,Sales,0,3,1,Low
AST-000212,Workstation,HR,0,3,2,High
AST-000213,Workstation,Engineering,0,3,1,High
AST-000214,Server,Finance,1,2,2,Medium
AST-000215,Workstation,Sales,0,4,1,Medium
AST-000216,Server,Sales,1,1,1,Low
AST-000217,Database,Marketing,0,1,4,High
AST-000218,Workstation,HR,0,1,1,Low
AST-000219,Workstation,Marketing,0,3,1,Medium
AST-000220,Network_Device,Operations,0,1,1,Low
AST-000221,Workstation,Sales,0,1,1,Low
AST-000222,Workstation,Sales,1,2,1,High
AST-000223,Server,Marketing,1,1,1,Low
AST-000224,Database,Sales,0,1,2,Medium
AST-000225,Server,Operations,0,1,2,Medium
AST-000226,Server,Engineering,1,1,2,Low
AST-000227,Cloud_Storage,Finance,0,2,4,High
AST-000228,Database,Finance,0,2,2,Medium
AST-000229,Network_Device,Finance,1,1,1,Low
AST-000230,Workstation,Engineering,1,1,1,Low
AST-000231,Workstation,Sales,0,3,2,High
AST-000232,Workstation,Marketing,0,2,2,Medium
AST-000233,Workstation,HR,0,2,1,Medium
AST-000234,Workstation,Sales,1,2,1,Medium
AST-000235,Server,Engineering,1,1,2,Medium
AST-000236,Workstation,Operations,0,5,2,High
AST-000237,Server,Engineering,1,2,2,High
AST-000238,Server,Finance,1,1,1,Low
AST-000239,Workstation,Sales,0,2,2,High
AST-000240,Server,Finance,1,1,2,Low
AST-000241,Cloud_Storage,HR,0,1,3,Medium
AST-000242,Cloud_Storage,Operations,0,4,2,High
AST-000243,Cloud_Storage,Finance,0,4,2,Critical
AST-000244,Database,HR,1,1,2,Medium
AST-000245,Server,Engineering,0,1,1,Low
AST-000246,Cloud_Storage,Finance,0,3,1,Medium
AST-000247,Workstation,Finance,1,1,3,Low
AST-000248,Cloud_Storage,Marketing,0,2,2,Medium
AST-000249,Cloud_Storage,Operations,1,2,2,Medium
AST-000250,Network_Device,Operations,0,2,4,High
AST-000251,Server,Engineering,0,3,4,Critical
AST-000252,Database,Marketing,0,3,2,High
AST-000253,Network_Device,HR,1,5,1,High
AST-000254,Database,HR,0,1,1,Low
AST-000255,Server,Engineering,0,4,3,Critical
AST-000256,Workstation,Operations,1,1,1,Low
AST-000257,Cloud_Storage,HR,0,1,4,Medium
AST-000258,Workstation,Engineering,1,1,1,Medium
AST-000259,Workstation,HR,1,2,2,High
AST-000260,Server,Sales,0,1,2,Medium
AST-000261,Workstation,Finance,0,3,1,Medium
AST-000262,Cloud_Storage,Operations,0,2,3,Medium
AST-000263,Server,Sales,0,1,2,Low
AST-000264,Workstation,Engineering,1,3,1,Medium
AST-000265,Network_Device,Engineering,1,4,1,Medium
AST-000266,Workstation,Sales,0,2,2,High
AST-000267,Workstation,Finance,0,1,1,Low
AST-000268,Workstation,Finance,0,4,3,Critical
AST-000269,Database,Marketing,0,3,1,High
AST-000270,Server,HR,0,1,1,Medium
AST-000271,Network_Device,Marketing,0,1,1,Low
AST-000272,Network_Device,Finance,0,2,1,Medium
AST-000273,Network_Device,Sales,0,4,1,Medium
AST-000274,Cloud_Storage,HR,1,1,4,High
AST-000275,Workstation,Sales,0,1,1,Low
AST-000276,Workstation,Marketing,1,4,1,High
AST-000277,Workstation,Engineering,0,1,1,Low
AST-000278,Workstation,Sales,1,4,2,Critical
AST-000279,Workstation,Marketing,0,1,2,Low
AST-000280,Workstation,Marketing,1,2,2,High
AST-000281,Network_Device,Marketing,1,1,1,Low
AST-000282,Database,Engineering,0,4,2,High
AST-000283,Database,Engineering,0,3,2,Medium
AST-000284,Server,Engineering,1,4,2,High
AST-000285,Workstation,HR,1,2,1,Low
AST-000286,Server,Engineering,1,1,2,High
AST-000287,Workstation,Engineering,1,1,1,Medium
AST-000288,Workstation,Engineering,0,2,1,Low
AST-000289,Server,Sales,0,2,1,Low
AST-000290,Workstation,Engineering,0,4,1,High
AST-000291,Server,HR,1,1,1,Medium
AST-000292,Server,Marketing,0,3,2,High
AST-000293,Network_Device,Sales,0,5,3,Critical
AST-000294,Database,Finance,1,1,2,Medium
AST-000295,Server,Engineering,1,4,1,Medium
AST-000296,Workstation,Marketing,0,2,2,Medium
AST-000297,Workstation,Marketing,0,3,2,High
AST-000298,Server,Sales,0,1,1,Low
AST-000299,Workstation,Finance,0,1,2,Medium
AST-000300,Server,Operations,1,1,2,High
AST-000301,Server,HR,0,5,1,High
AST-000302,Workstation,Operations,1,3,1,Medium
AST-000303,Workstation,Marketing,1,1,1,Low
AST-000304,Workstation,Operations,0,5,4,Critical
AST-000305,Workstation,Marketing,0,2,1,Medium
AST-000306,Cloud_Storage,Operations,0,4,1,High
AST-000307,Workstation,Marketing,0,1,1,Low
AST-000308,Database,Marketing,0,1,3,Low
AST-000309,Workstation,Sales,1,2,1,Medium
AST-000310,Server,Finance,0,1,2,Medium
AST-000311,Workstation,Marketing,1,2,2,Medium
AST-000312,Server,HR,0,2,2,High
AST-000313,Server,HR,0,1,3,Medium
AST-000314,Cloud_Storage,Engineering,1,1,1,Low
AST-000315,Network_Device,Marketing,0,5,3,Critical
AST-000316,Workstation,Marketing,0,1,3,Medium
AST-000317,Workstation,Marketing,0,1,3,Medium
AST-000318,Server,Operations,0,2,2,Medium
AST-000319,Server,Marketing,1,2,3,High
AST-000320,Server,Marketing,0,3,1,Medium
AST-000321,Workstation,HR,0,3,1,High
AST-000322,Workstation,Finance,0,1,1,Medium
AST-000323,Workstation,Finance,1,1,1,Low
AST-000324,Server,Engineering,0,3,2,High
AST-000325,Cloud_Storage,HR,0,4,1,High
AST-000326,Workstation,Marketing,0,2,1,Medium
AST-000327,Workstation,Finance,0,1,2,Medium
AST-000328,Workstation,Sales,0,1,3,Medium
AST-000329,Workstation,Sales,0,1,2,Low
AST-000330,Server,Sales,0,3,3,High
AST-000331,Database,Marketing,0,1,2,Medium
AST-000332,Workstation,Marketing,0,1,3,Medium
AST-000333,Server,Engineering,1,2,1,Low
AST-000334,Server,Engineering,1,2,4,Critical
AST-000335,Server,Engineering,0,2,1,High
AST-000336,Server,Operations,0,2,3,High
AST-000337,Network_Device,Sales,0,3,2,High
AST-000338,Workstation,Marketing,1,1,2,Low
AST-000339,Workstation,Sales,0,2,2,Medium
AST-000340,Server,Engineering,1,1,3,High
AST-000341,Workstation,Marketing,0,1,3,Medium
AST-000342,Workstation,HR,0,2,1,Medium
AST-000343,Server,Finance,1,2,1,Medium
AST-000344,Workstation,Finance,1,3,1,Medium
AST-000345,Database,Engineering,1,2,1,Medium
AST-000346,Workstation,Sales,0,3,1,High
AST-000347,Workstation,HR,0,2,2,High
AST-000348,Server,Marketing,0,2,1,Medium
AST-000349,Database,Sales,0,2,2,Medium
AST-000350,Workstation,Engineering,0,1,1,Medium
AST-000351,Workstation,Sales,0,1,2,Low
AST-000352,Network_Device,Engineering,0,2,1,Medium
AST-000353,Workstation,Operations,0,1,2,Low
AST-000354,Server,Finance,1,2,2,Medium
AST-000355,Server,Finance,1,2,1,Low
AST-000356,Workstation,Sales,0,5,1,Critical
AST-000357,Server,HR,0,4,1,Medium
AST-000358,Workstation,Marketing,0,1,3,Medium
AST-000359,Cloud_Storage,Engineering,1,2,2,Low
AST-000360,Workstation,Marketing,0,1,2,Medium
AST-000361,Database,Finance,1,1,1,Medium
AST-000362,Workstation,HR,1,3,1,Medium
AST-000363,Workstation,HR,0,1,1,Low
AST-000364,Workstation,Marketing,0,1,1,Low
AST-000365,Cloud_Storage,Finance,1,4,1,High
AST-000366,Database,Marketing,0,3,1,High
AST-000367,Cloud_Storage,Sales,0,3,2,High
AST-000368,Cloud_Storage,HR,1,4,1,Medium
AST-000369,Server,HR,0,3,1,Medium
AST-000370,Server,Sales,1,1,2,Low
AST-000371,Server,Finance,1,2,2,Medium
AST-000372,Server,HR,1,2,2,High
AST-000373,Server,Operations,0,1,1,Medium
AST-000374,Workstation,Operations,0,3,3,Critical
AST-000375,Server,Operations,0,2,3,High
AST-000376,Database,Engineering,1,1,1,Medium
AST-000377,Network_Device,Engineering,1,1,1,Medium
AST-000378,Server,Finance,0,1,3,Medium
AST-000379,Network_Device,Sales,0,4,3,Critical
AST-000380,Server,Marketing,0,2,1,Medium
AST-000381,Server,Finance,1,2,1,Medium
AST-000382,Workstation,Marketing,1,2,3,High
AST-000383,Workstation,Finance,1,2,1,Low
AST-000384,Network_Device,Engineering,1,3,3,High
AST-000385,Workstation,Operations,1,2,1,Medium
AST-000386,Network_Device,Sales,1,4,3,High
AST-000387,Server,Engineering,0,5,1,Critical
AST-000388,Server,Sales,0,5,1,Critical
AST-000389,Workstation,Marketing,1,2,4,Critical
AST-000390,Network_Device,Finance,0,4,1,High
AST-000391,Cloud_Storage,HR,0,2,1,Low
AST-000392,Workstation,HR,0,4,3,Critical
AST-000393,Database,Sales,0,4,1,High
AST-000394,Workstation,Operations,0,4,1,High
AST-000395,Database,Operations,0,3,1,Low
AST-000396,Cloud_Storage,Sales,0,2,2,Medium
AST-000397,Network_Device,Engineering,0,1,2,High
AST-000398,Workstation,HR,0,1,3,Medium
AST-000399,Workstation,Engineering,1,3,2,High
AST-000400,Workstation,Marketing,0,1,1,Low
AST-000401,Server,HR,0,2,1,Medium
AST-000402,Cloud_Storage,Marketing,0,2,3,High
AST-000403,Workstation,Finance,0,2,2,Medium
AST-000404,Network_Device,Engineering,0,4,3,Critical
AST-000405,Database,Sales,1,2,4,High
AST-000406,Network_Device,HR,1,3,1,Medium
AST-000407,Database,Engineering,0,2,2,Medium
AST-000408,Server,Sales,0,3,2,High
AST-000409,Cloud_Storage,Finance,0,1,1,Medium
AST-000410,Server,HR,1,1,1,Medium
AST-000411,Database,Marketing,1,4,3,Critical
AST-000412,Cloud_Storage,Finance,0,2,2,High
AST-000413,Cloud_Storage,Operations,0,2,2,Low
AST-000414,Workstation,Sales,1,2,2,High
AST-000415,Workstation,HR,1,1,2,Low
AST-000416,Workstation,HR,0,2,1,Medium
AST-000417,Server,Finance,1,1,2,Low
AST-000418,Database,HR,0,2,1,Medium
AST-000419,Workstation,Sales,0,2,3,High
AST-000420,Workstation,Finance,1,2,2,High
AST-000421,Workstation,Marketing,0,2,3,Critical
AST-000422,Workstation,Finance,1,5,1,Critical
AST-000423,Server,Finance,0,2,4,High
AST-000424,Workstation,Marketing,0,4,3,Critical
AST-000425,Server,Operations,0,2,2,Low
AST-000426,Workstation,Sales,0,2,1,Low
AST-000427,Workstation,Operations,0,1,1,Low
AST-000428,Network_Device,Operations,1,1,2,Medium
AST-000429,Database,Operations,0,2,2,Medium
AST-000430,Server,Engineering,1,1,1,Low
AST-000431,Server,Operations,0,3,2,High
AST-000432,Workstation,Engineering,1,2,2,Medium
AST-000433,Workstation,Marketing,0,4,1,High
AST-000434,Server,Sales,0,5,1,High
AST-000435,Server,Operations,0,1,1,Medium
AST-000436,Workstation,HR,0,1,1,Low
AST-000437,Server,Marketing,0,2,1,Medium
AST-000438,Network_Device,Engineering,0,1,3,Medium
AST-000439,Workstation,Sales,1,1,1,Low
AST-000440,Server,Finance,1,3,1,Medium
AST-000441,Server,Sales,1,5,1,Medium
AST-000442,Cloud_Storage,Sales,0,3,4,Critical
AST-000443,Database,Operations,1,2,1,Medium
AST-000444,Database,Operations,1,2,4,Critical
AST-000445,Network_Device,Engineering,0,2,1,Low
AST-000446,Cloud_Storage,Engineering,0,2,1,Medium
AST-000447,Cloud_Storage,Operations,0,2,2,High
AST-000448,Workstation,Operations,0,1,2,Medium
AST-000449,Database,HR,0,4,2,High
AST-000450,Server,HR,0,3,3,High
AST-000451,Workstation,Marketing,1,2,1,Medium
AST-000452,Workstation,Operations,0,4,2,High
AST-000453,Workstation,Finance,0,1,2,Low
AST-000454,Cloud_Storage,HR,1,1,3,High
AST-000455,Server,Engineering,1,3,1,High
AST-000456,Workstation,Sales,1,5,1,High
AST-000457,Server,Marketing,0,2,2,High
AST-000458,Workstation,HR,0,1,4,High
AST-000459,Server,Sales,0,3,1,High
AST-000460,Server,Sales,0,1,1,Medium
AST-000461,Server,HR,0,2,1,Medium
AST-000462,Workstation,Finance,0,1,2,Medium
AST-000463,Workstation,Finance,1,4,1,High
AST-000464,Workstation,Marketing,0,2,1,Medium
AST-000465,Cloud_Storage,Finance,0,4,2,High
AST-000466,Database,Marketing,0,1,1,Medium
AST-000467,Server,Engineering,1,1,1,Low
AST-000468,Network_Device,HR,0,4,1,Medium
AST-000469,Server,Sales,0,1,1,Low
AST-000470,Cloud_Storage,Marketing,0,2,1,Low
AST-000471,Server,Finance,0,1,1,Medium
AST-000472,Cloud_Storage,Marketing,0,3,1,Medium
AST-000473,Server,Operations,0,1,2,Low
AST-000474,Network_Device,Marketing,0,2,1,Low
AST-000475,Workstation,Finance,1,2,2,Medium
AST-000476,Cloud_Storage,Operations,0,2,1,Medium
AST-000477,Server,Operations,1,1,1,Low
AST-000478,Workstation,Finance,0,3,3,High
AST-000479,Cloud_Storage,Operations,0,2,1,Low
AST-000480,Workstation,HR,0,1,1,Low
AST-000481,Workstation,Sales,0,2,3,Critical
AST-000482,Workstation,HR,0,4,2,High
AST-000483,Workstation,HR,0,1,2,Medium
AST-000484,Workstation,Finance,1,2,2,Medium
AST-000485,Workstation,Finance,1,3,1,Medium
AST-000486,Cloud_Storage,Sales,1,1,4,High
AST-000487,Server,Marketing,0,1,3,High
AST-000488,Server,HR,0,2,1,Medium
AST-000489,Cloud_Storage,Operations,0,3,3,High
AST-000490,Network_Device,Sales,0,1,1,Low
AST-000491,Workstation,HR,0,3,2,High
AST-000492,Workstation,Marketing,0,2,1,Low
AST-000493,Server,Operations,1,1,2,Medium
AST-000494,Server,HR,0,2,1,Medium
AST-000495,Workstation,Engineering,0,5,2,High
AST-000496,Database,Sales,0,1,1,Medium
AST-000497,Workstation,Finance,0,2,1,Medium
AST-000498,Server,HR,1,2,2,High
AST-000499,Cloud_Storage,Operations,0,1,3,High
AST-000500,Cloud_Storage,Operations,1,1,1,Low
AST-000501,Workstation,Sales,0,1,3,Medium
AST-000502,Workstation,Sales,0,1,1,Low
AST-000503,Database,Operations,1,1,3,High
AST-000504,Network_Device,Operations,0,3,2,High
AST-000505,Workstation,Operations,0,5,3,Critical
AST-000506,Server,HR,0,1,2,Medium
AST-000507,Cloud_Storage,Operations,0,2,2,Medium
AST-000508,Network_Device,Finance,1,1,1,Medium
AST-000509,Cloud_Storage,Operations,1,1,4,High
AST-000510,Workstation,Finance,1,1,3,High
AST-000511,Workstation,HR,0,1,1,Low
AST-000512,Workstation,Sales,0,4,1,High
AST-000513,Cloud_Storage,Finance,0,1,2,Low
AST-000514,Network_Device,HR,1,2,4,High
AST-000515,Server,Operations,1,1,1,Low
AST-000516,Server,HR,0,1,3,High
AST-000517,Database,Operations,0,4,1,High
AST-000518,Network_Device,HR,0,1,4,Medium
AST-000519,Cloud_Storage,Sales,0,5,2,Critical
AST-000520,Server,Finance,0,1,1,Low
AST-000521,Workstation,Sales,0,2,1,Medium
AST-000522,Database,Engineering,0,5,2,Critical
AST-000523,Cloud_Storage,Operations,1,1,2,Medium
AST-000524,Network_Device,Finance,1,2,3,High
AST-000525,Network_Device,Sales,1,3,2,Critical
AST-000526,Workstation,Finance,0,1,2,Low
AST-000527,Workstation,Engineering,0,2,3,High
AST-000528,Server,Marketing,0,1,2,Medium
AST-000529,Server,Operations,0,1,3,Medium
AST-000530,Network_Device,Operations,0,1,3,Medium
AST-000531,Network_Device,HR,1,4,3,Critical
AST-000532,Cloud_Storage,Operations,0,1,1,Low
AST-000533,Cloud_Storage,Operations,1,1,2,Low
AST-000534,Workstation,Sales,1,2,1,Low
AST-000535,Workstation,Operations,1,1,1,Low
AST-000536,Cloud_Storage,Operations,1,2,1,Medium
AST-000537,Network_Device,Engineering,0,1,3,High
AST-000538,Server,Engineering,1,3,1,Medium
AST-000539,Workstation,Finance,0,2,1,Medium
AST-000540,Server,Finance,1,1,1,Low
AST-000541,Cloud_Storage,Operations,0,1,1,Low
AST-000542,Workstation,Operations,0,2,2,Medium
AST-000543,Server,HR,0,3,1,Medium
AST-000544,Workstation,Finance,0,1,1,Low
AST-000545,Workstation,Sales,0,1,2,Medium
AST-000546,Database,Operations,0,1,1,Low
AST-000547,Server,Sales,1,2,1,Medium
AST-000548,Workstation,Operations,0,5,3,Critical
AST-000549,Workstation,Sales,0,1,3,High
AST-000550,Workstation,Marketing,0,1,1,Low
AST-000551,Workstation,Sales,0,1,1,Low
AST-000552,Network_Device,Finance,0,1,3,High
AST-000553,Workstation,Operations,1,2,1,Medium
AST-000554,Workstation,Finance,0,4,2,High
AST-000555,Network_Device,Sales,0,1,2,Low
AST-000556,Workstation,Engineering,0,3,2,Medium
AST-000557,Server,Engineering,0,1,4,Medium
AST-000558,Server,Engineering,0,3,1,Medium
AST-000559,Workstation,Operations,1,2,1,Medium
AST-000560,Workstation,HR,0,1,2,Medium
AST-000561,Workstation,Marketing,0,4,4,Critical
AST-000562,Server,Sales,0,1,3,Medium
AST-000563,Server,HR,0,2,2,Medium
AST-000564,Server,Engineering,1,4,3,Critical
AST-000565,Database,Sales,0,1,1,Low
AST-000566,Workstation,HR,0,2,1,Medium
AST-000567,Database,Finance,1,3,1,High
AST-000568,Workstation,Engineering,0,5,1,High
AST-000569,Cloud_Storage,HR,1,3,2,High
AST-000570,Database,Operations,0,1,3,Medium
AST-000571,Workstation,Finance,0,2,2,High
AST-000572,Workstation,Engineering,1,3,2,High
AST-000573,Database,Marketing,1,2,1,Low
AST-000574,Workstation,Engineering,0,4,2,Critical
AST-000575,Network_Device,Operations,1,1,1,Low
AST-000576,Cloud_Storage,Marketing,0,1,2,Medium
