asset_id,asset_type,business_unit,internet_exposed,asset_criticality,data_sensitivity,revenue_dependency,vulnerability_count,critical_vulnerability_count,avg_cvss,avg_epss,patch_delay,failed_logins,anomaly_count,mfa_coverage,edr_coverage,backup_coverage,control_effectiveness,incident_probability_true,incident_occurred,total_loss,recovery_cost,downtime_hours
AST-000033,Server,Engineering,1,3,2,High,4,1,9.642301030888259,0.09146712022937767,115.53144777326652,17,1,0.8997481438243031,0.6073045044208368,0.38942703137986523,0.6321598932083351,0.23449007705928449,1,54599.85539227787,14578.595939428978,99.51828234029969
AST-000034,Cloud_Storage,Sales,0,3,1,High,1,0,3.9700704416396753,0.20083654294767223,31.74588193276667,1,1,0.612115736399444,0.8219069091095654,0.8966884777829277,0.776903707763979,0.018495347858425014,0,0.0,0.0,0.0
AST-000035,Cloud_Storage,HR,0,1,1,Low,3,1,9.984112416749584,0.03622140038730284,76.89059688485699,1,0,0.917748870007873,0.44095479264933324,0.5575946884191146,0.6387661170254403,0.0366214073540308,1,89414.90994206301,12043.680486981611,26.482144834658435
AST-000036,Network_Device,Engineering,0,2,1,Low,4,0,3.8347659209508205,0.01567591411737721,54.98760239903518,3,0,0.0,0.6682776816142958,0.8303994806432026,0.4995590540858328,0.06070311846308879,0,0.0,0.0,0.0
AST-000037,Database,Finance,1,2,1,Medium,8,2,7.558343230953572,0.3666508555827973,27.596915695416314,12,7,0.8724574595989397,0.3346310826983782,0.9890947675051747,0.7320611032674975,0.36324362258298093,0,0.0,0.0,0.0
AST-000038,Server,Marketing,0,4,1,Medium,1,0,4.580497826285565,0.04203319240884147,22.023305800317278,0,1,0.8036391702550119,0.4859100137503536,0.898300550677223,0.7292832448941962,0.006887141874790534,0,0.0,0.0,0.0
AST-000039,Workstation,Sales,0,4,1,Medium,3,0,6.736940480759093,0.1104061599543226,3.2843767682985785,1,0,0.6190698412265649,0.8415773819718982,0.8056452322194508,0.755430818472638,0.014293318521963645,0,0.0,0.0,0.0
AST-000040,Workstation,Engineering,1,1,3,Medium,4,1,10.0,0.11091504571794757,2.8870791891674292,13,7,0.4071828881169235,0.37472131444620965,0.9088879063848602,0.5635973696493312,0.15340856838126424,0,0.0,0.0,0.0
AST-000041,Server,Operations,0,1,1,Low,4,1,7.715820129245691,0.19590559648372388,51.83194359739108,5,1,0.9206659201783645,0.4937408439072611,0.4786633958703879,0.6310233866520044,0.009136175343499975,0,0.0,0.0,0.0
AST-000042,Workstation,Finance,0,1,1,Medium,2,0,3.663053516514177,0.029681168024408858,64.867348045848,3,1,0.41215209424331245,0.5149289621000205,0.9444642114474571,0.62384842259693,0.013803333847407551,0,0.0,0.0,0.0
AST-000043,Server,Marketing,0,1,1,Low,2,0,6.817083062348182,0.10126411889380114,30.44183266275025,2,1,0.0,0.722544791093711,0.5749794819031356,0.4325080909989489,0.029536669506159612,0,0.0,0.0,0.0
AST-000044,Cloud_Storage,Finance,1,2,4,High,4,2,6.61421108844079,0.08557524491266322,34.68032791885485,10,3,0.22281739074179704,0.28836979967206705,0.7894965325930347,0.43356124100229954,0.5196421857636122,1,98616.79730696093,18590.121020861046,4.71774313338012
AST-000045,Server,Engineering,0,2,1,Low,2,1,7.625732411852292,0.000812301895997261,23.36387424922445,1,0,0.6143106366275926,0.7058331235379158,0.9482527237427008,0.7561321613027364,0.004371390893352572,0,0.0,0.0,0.0
AST-000046,Workstation,HR,1,1,3,High,3,2,8.83127360822759,0.1491429199634401,81.31732735015564,11,6,0.44624363129124,0.5735571592939772,0.7825601375341233,0.6007869760397803,0.5077756907963614,0,0.0,0.0,0.0
AST-000047,Database,Marketing,1,2,3,High,8,3,8.129155484665873,0.2513513245447175,16.17303438913079,24,4,0.7217051374563205,0.9923956203900538,0.9322317716900427,0.8821108431788057,0.22703405619642478,0,0.0,0.0,0.0
AST-000048,Workstation,Finance,0,4,1,High,2,1,7.514798362457862,0.11125182649433235,6.5289361969346125,4,0,0.9259948780300602,0.5232951633568869,0.7926807662986559,0.7473236025618677,0.004631125720464923,0,0.0,0.0,0.0
AST-000049,Workstation,HR,1,2,1,Low,4,0,3.2308719076651253,0.44011612718379245,39.00972853409803,6,0,0.0,0.7784020825079581,0.7087352361584914,0.4957124395554831,0.12396763439211463,0,0.0,0.0,0.0
AST-000050,Server,Sales,0,1,2,Medium,3,0,4.114994944273526,0.05959803909162675,31.841617534957923,4,1,0.23443064874991343,0.18101671092463986,0.5122684500015917,0.30923860322538166,0.024250232977546485,0,0.0,0.0,0.0
AST-000051,Cloud_Storage,Engineering,0,2,2,Medium,2,0,5.317934385458384,0.0024666854019385004,115.25300058677047,2,1,0.41462291423935155,0.3552727329906685,0.28266808730025406,0.350854578176758,0.03829425206050069,0,0.0,0.0,0.0
AST-000052,Workstation,Engineering,0,2,2,Medium,1,0,5.100509672872498,0.21972826624995376,73.7247584458233,1,0,0.9165120506047937,0.5271408499296981,0.9436789033445996,0.7957772679596972,0.011051837370034845,0,0.0,0.0,0.0
AST-000053,Cloud_Storage,Marketing,1,4,3,Critical,7,2,7.330125896500327,0.2570125622399908,17.691168711560465,14,3,0.9462245911433359,0.37110584979392586,0.864514726199452,0.7272817223789046,0.15715819674125206,0,0.0,0.0,0.0
AST-000054,Network_Device,Finance,0,1,1,Low,3,2,8.87720721322511,0.021061226737201746,18.120237945652967,2,2,0.3815074897636287,0.7198653667370687,0.9838588243845721,0.6950772269617564,0.02109074118691906,0,0.0,0.0,0.0
AST-000055,Workstation,Sales,0,2,2,High,4,2,9.016335481432332,0.060503494967847175,31.633931235627823,2,1,0.7382838854811862,0.33131122672341834,0.5387800179913854,0.5361250433986634,0.030493359310835133,0,0.0,0.0,0.0
AST-000056,Cloud_Storage,Operations,0,2,1,Medium,2,1,6.5316164139260735,0.0167545459888502,19.481911772418766,3,2,0.792644494120173,0.4253797796229559,0.9721334822518805,0.7300525853316698,0.02750065613996868,0,0.0,0.0,0.0
AST-000057,Server,Marketing,0,2,2,Medium,3,1,8.109244339355936,0.13174594028625816,134.8093074224773,0,1,0.3956047369266713,0.7082767146162567,0.9550767037444593,0.6863193850957958,0.09486169336391856,0,0.0,0.0,0.0
AST-000058,Server,Operations,0,3,2,High,2,1,6.5744652554308916,0.06887570393561994,73.47918021663806,0,1,0.4576581358877615,0.8552577268816886,0.7018401268634062,0.6715853298776188,0.014515749346644645,0,0.0,0.0,0.0
AST-000059,Server,Marketing,0,1,1,Low,1,0,6.690760205165983,0.23540297816927572,47.07690115891316,1,1,0.5370666018304164,0.9854976971071497,0.42734905973610726,0.6499711195578911,0.025948893722688115,0,0.0,0.0,0.0
AST-000060,Database,Finance,0,2,1,Low,4,1,9.1449749110119,0.15583956860671727,1.52906045289538,4,0,0.8693497181726244,0.46175063453264387,0.12727779296711392,0.4861260485574607,0.013786089256940382,0,0.0,0.0,0.0
AST-000061,Database,Sales,0,1,1,Low,0,0,0.0,0.0,13.200613014593534,2,1,0.9282331962571575,0.45931185648116984,0.4796429120304965,0.6223959882562746,0.004589332518242577,0,0.0,0.0,0.0
AST-000062,Server,Finance,0,1,1,Medium,3,1,6.92417565318621,0.07819147059162188,11.490552837194299,3,1,0.3854320826338081,0.3535452099394297,0.5484839446382301,0.429153745737156,0.013011443327056478,0,0.0,0.0,0.0
AST-000063,Network_Device,Engineering,0,2,3,High,2,1,7.65497364639467,0.021315945961228374,1.5512239065988063,3,1,0.4000946235546911,0.7201052366324652,0.7404658273000978,0.6202218958290847,0.011554707823401178,0,0.0,0.0,0.0
AST-000064,Database,Operations,1,1,2,Low,5,1,8.307308721163013,0.06321178401090823,13.332448541222732,12,5,0.25959339023944705,0.28668820126136,0.45622040802181696,0.33416733317420794,0.2605117243794851,0,0.0,0.0,0.0
AST-000065,Server,HR,1,1,2,Low,9,1,9.854419861099442,0.34058832836410574,129.68265447650234,14,9,0.5696893511235855,0.6617629394538854,0.9144526497485856,0.7153016467753522,0.7361203112394318,0,0.0,0.0,0.0
AST-000066,Workstation,Engineering,0,3,1,Low,4,0,5.494518042242561,0.044339566893777216,12.031573897154587,0,0,0.0,0.5773920982223887,0.89430299157589,0.4905650299327595,0.02963796848100319,0,0.0,0.0,0.0
AST-000067,Server,Engineering,0,2,1,High,2,0,5.26014061028637,0.10725375185775755,100.34089677587406,3,1,0.8587138267866372,0.7894642797719609,0.7343939514860345,0.7941906860148776,0.02542654253642579,0,0.0,0.0,0.0
AST-000068,Network_Device,Operations,1,1,1,Medium,4,0,5.0344815167942025,0.402641513109967,24.295750567979507,24,3,0.47701290871094293,0.6681907379728014,0.9816204896236397,0.708941378769128,0.038165256745826964,0,0.0,0.0,0.0
AST-000069,Server,Marketing,1,2,1,Medium,6,1,9.020114828392497,0.10149189313230915,18.114494404795224,17,4,0.5345384702927743,0.5358767705639271,0.8658712863249819,0.6454288423938944,0.08586674933218559,1,77666.6514768399,10072.129174577909,97.83719339181087
AST-000070,Cloud_Storage,Engineering,0,1,2,Low,2,0,6.47860882222502,0.10196197828875651,49.00959230079973,3,1,0.3768194723062023,0.1579837078208743,0.34374483036885595,0.2928493368319775,0.047642955130153375,0,0.0,0.0,0.0
AST-000071,Workstation,Sales,0,1,3,Critical,1,0,3.1249421122543506,0.18298115841885226,104.66018287839958,3,1,0.42939614141195404,0.14818581138169323,0.33186113432816927,0.3031476957072721,0.1321258403318412,0,0.0,0.0,0.0
AST-000072,Server,Engineering,0,2,1,Low,1,0,5.4197733909730665,0.010013445559491442,50.20139977240264,1,0,0.4271688212675176,0.6796465303353727,0.7655906397804508,0.6241353304611137,0.015547356963822737,0,0.0,0.0,0.0
AST-000073,Server,Sales,0,1,2,Medium,2,1,8.699987968151188,0.02523787149913736,82.55972159448993,2,1,0.5866503861299328,0.30693056118215706,0.8343421856441846,0.5759743776520915,0.030676786820148447,0,0.0,0.0,0.0
AST-000074,Network_Device,Finance,0,5,1,Medium,3,0,5.240913819895206,0.020396355015741795,1.3278072001591392,2,0,0.8563378050771918,0.8779732200645136,0.9917553089558867,0.9086887780325307,0.0017062114240768643,0,0.0,0.0,0.0
AST-000075,Workstation,Marketing,1,1,1,Low,2,1,9.198221273092845,0.3177221496718338,70.91279187986673,19,4,0.7498862579375023,0.6359485905030279,0.7664330801147949,0.717422642851775,0.3029563389953887,0,0.0,0.0,0.0
AST-000076,Workstation,Sales,0,3,1,Medium,2,1,9.209277639162444,0.007342595422398617,8.200169782212425,3,0,0.46198016870147923,0.34673028456375354,0.6673899003677468,0.4920334512109932,0.0421015767795311,0,0.0,0.0,0.0
AST-000077,Workstation,Engineering,0,3,2,High,1,0,5.258897014489448,0.00848255294137696,88.24362050537027,2,0,0.7528504909472975,0.6988574424526693,0.8372373224146569,0.7629817519382079,0.01676627379667208,0,0.0,0.0,0.0
AST-000078,Server,Marketing,1,5,1,High,7,0,4.787298138493231,0.14995529104476626,27.347047857769944,11,4,0.7205611759196895,0.4580800419293555,0.886468155772733,0.6883697912072592,0.028900638060012827,0,0.0,0.0,0.0
AST-000079,Database,Marketing,1,2,1,Medium,5,1,8.861086336807109,0.24159316463108146,10.19253677958391,17,4,0.525210129731566,0.4483044849778775,0.9348014879533848,0.6361053675542762,0.1598277646873861,0,0.0,0.0,0.0
AST-000080,Server,Sales,1,4,2,High,2,1,8.198612595847795,0.3023494042019518,1.5694919854523977,22,3,0.6252229826290597,0.6723663428155601,0.8917035315055682,0.7297642856500627,0.11259731372185353,0,0.0,0.0,0.0
AST-000081,Network_Device,Sales,1,5,2,Critical,2,0,5.324043828492583,0.15367319685923989,7.531271874236717,14,3,0.0,0.6047658577313756,0.9895368708149532,0.5314342428487763,0.023360540221634772,0,0.0,0.0,0.0
AST-000082,Workstation,HR,0,1,1,Low,0,0,0.0,0.0,26.152136021657693,3,1,0.7724985854085927,0.7609476736973801,0.5855291963013367,0.7063251518024365,0.005503356337916625,0,0.0,0.0,0.0
AST-000083,Database,HR,1,2,2,High,5,2,7.485271514815271,0.13692153648194064,69.90225451213446,12,3,0.7041664371559292,0.17738367170768507,0.8432304190945255,0.5749268426527133,0.5119800494606378,1,115478.53779829848,20656.19317272134,11.501516173611128
AST-000084,Server,Marketing,1,1,2,Medium,7,2,9.38590109077781,0.05760525288789796,27.44229565751866,16,4,0.5108328446197751,0.14642061189267974,0.9300290055708674,0.5290941540277742,0.2371981359743622,0,0.0,0.0,0.0
AST-000085,Database,Operations,0,2,1,Medium,3,1,9.192274369662869,0.07114638008189468,23.16994680064696,6,0,0.44459371981670737,0.6423962269651982,0.9887212067836036,0.6919037178551698,0.015581981316823595,0,0.0,0.0,0.0
AST-000086,Database,Operations,0,2,2,Medium,1,0,3.2176545052139636,0.01622935335374526,90.95963154246257,2,0,0.5065766113502116,0.9274062707753158,0.6632687803370404,0.6990838874875226,0.008162880394919643,0,0.0,0.0,0.0
AST-000087,Workstation,HR,0,1,1,Low,0,0,0.0,0.0,21.421613294802672,1,1,0.14004647419290664,0.5052261256456033,0.5249746469546334,0.39008241559771445,0.016470480914982003,0,0.0,0.0,0.0
AST-000088,Workstation,Engineering,1,3,2,High,3,0,5.840567251140229,0.03556625089041341,72.60433568719661,25,1,0.5037452545187903,0.6808948274480906,0.979250074090232,0.7212967186857043,0.07039374452750745,0,0.0,0.0,0.0
AST-000089,Network_Device,Finance,0,1,3,High,2,0,3.55315008266619,0.18227249594664885,71.67252657461536,1,0,0.057716189590068676,0.6996203666322085,0.7889718236461055,0.5154361266227943,0.0591102021156538,0,0.0,0.0,0.0
AST-000090,Workstation,Marketing,0,3,1,Medium,4,1,7.838315236690597,0.14730524614982696,32.55733787804086,2,1,0.43634642676207913,0.6862731379577657,0.8360943146822221,0.6529046264673557,0.01772740807374515,0,0.0,0.0,0.0
AST-000091,Server,Finance,0,1,1,Low,0,0,0.0,0.0,23.12458313341424,1,2,0.7495555452464023,0.1418778388807349,0.9314250668732104,0.6076194836667825,0.007919565665028418,0,0.0,0.0,0.0
AST-000092,Workstation,HR,0,2,1,Low,0,0,0.0,0.0,16.947750939314055,0,0,0.0,0.5061357224336435,0.9877271472998003,0.49795428991114793,0.014874013568798307,0,0.0,0.0,0.0
AST-000093,Workstation,Sales,0,1,1,Low,2,0,5.665220159240907,0.09065942842537862,37.40985341135478,2,1,0.3128704507739417,0.0871886710852744,0.9715207632618568,0.45719329504035766,0.02452953159314737,0,0.0,0.0,0.0
AST-000094,Workstation,Marketing,0,1,1,Low,3,0,6.149124205104107,0.032132523983821625,56.73736250247847,1,0,0.93741918850373,0.20779814229050655,0.5257084637093727,0.5569752648345364,0.016987139134339583,0,0.0,0.0,0.0
AST-000095,Workstation,HR,1,3,2,Medium,3,0,4.512578777538684,0.11309555182152048,21.908503145264465,13,3,0.5321351222006867,0.8579630113618314,0.8399440789875479,0.7433474041833552,0.02125704348976662,0,0.0,0.0,0.0
AST-000096,Workstation,Engineering,0,1,1,Low,6,0,5.806393039730903,0.09026334233867421,141.19267293136596,2,0,0.5411688715495597,0.36993544268606626,0.5140967982845077,0.4750670375067112,0.11397233109300683,0,0.0,0.0,0.0
AST-000097,Workstation,Marketing,0,2,1,Low,1,0,5.562767563001395,0.0949765756226891,44.917598058059944,2,0,0.6197528878781956,0.774835007857058,0.8923991808805015,0.762329025538585,0.004219975389985591,0,0.0,0.0,0.0
AST-000098,Workstation,Marketing,0,4,2,Critical,0,0,0.0,0.0,1.2645217871725118,2,1,0.37508155953738914,0.6349028952314155,0.8821250722559072,0.630703175674904,0.0027744166576554826,0,0.0,0.0,0.0
AST-000099,Server,Operations,0,1,2,Medium,3,0,5.398060507964238,0.09646201290874887,91.21218018380556,0,0,0.44826405036268163,0.5983454908438297,0.5100729976355177,0.5188941796140097,0.04159376024553649,0,0.0,0.0,0.0
AST-000100,Server,Sales,0,3,1,Medium,1,1,8.256271134110603,0.09396735283833363,48.639810716794784,5,1,0.7933580450935954,0.580660139142851,0.8834988602681142,0.7525056815015203,0.006116072466783821,0,0.0,0.0,0.0
AST-000101,Server,Marketing,0,1,2,Medium,5,0,4.856003335861958,0.0674459669165054,22.65379858957925,1,0,0.23722194857853152,0.6516700546680111,0.35834947393210786,0.4157471590595501,0.022509089086800577,0,0.0,0.0,0.0
AST-000102,Workstation,Sales,0,1,3,High,3,2,9.028476213208949,0.04374515270853596,88.0521959916735,3,0,0.09261758834501611,0.3605643301789546,0.34379875518508085,0.26566022456968386,0.29049928634462896,0,0.0,0.0,0.0
AST-000103,Database,HR,0,1,1,Low,1,0,3.7766173756893124,0.06348720594987665,37.51989980152153,1,1,0.843716313433884,0.4940542784021457,0.6314067024068162,0.6563924314142819,0.011469848094137647,0,0.0,0.0,0.0
AST-000104,Workstation,Engineering,0,5,1,Critical,1,0,4.049917513948537,0.03364937467140678,2.693878778223228,1,1,0.8412296244085753,0.8342676719105966,0.892248735937343,0.855915344085505,0.001200642338780194,0,0.0,0.0,0.0
AST-000105,Cloud_Storage,Engineering,0,1,2,Medium,2,1,8.97371218940939,0.07847619893005371,10.666037833912215,3,0,0.5954689948317065,0.5315877621479536,0.88900363690345,0.6720201312943699,0.004188640053751351,0,0.0,0.0,0.0
AST-000106,Server,Marketing,0,4,2,Critical,1,0,5.8837166500958595,0.0021420084217305246,16.047421136443003,0,0,0.8050341995478357,0.4179980645776821,0.748439059681921,0.657157107935813,0.0051017448671493125,0,0.0,0.0,0.0
AST-000107,Workstation,Marketing,0,5,1,Critical,0,0,0.0,0.0,8.942408022386193,3,2,0.5990046802085409,0.8675434406914497,0.9632652215472735,0.8099377808157547,0.0015815677408949353,0,0.0,0.0,0.0
AST-000108,Workstation,HR,0,1,1,Low,1,1,8.128828278462285,0.03568499501702032,106.90070020511732,5,0,0.37121606761614445,0.35405085159276856,0.9354840739405907,0.5535836643831679,0.14701123682454953,0,0.0,0.0,0.0
AST-000109,Server,Operations,1,2,2,Low,3,1,8.454035069971269,0.26560329950486955,6.897768765695374,22,2,0.19527509858123623,0.8330717462335399,0.9507976591694849,0.6597148346614203,0.1743949000062955,0,0.0,0.0,0.0
AST-000110,Server,Operations,1,3,4,Critical,3,1,7.111775247331019,0.19445596000296017,7.962680274017573,10,1,0.4951353738630892,0.6097087764704834,0.6171181574559853,0.5739874359298526,0.1716369232695014,0,0.0,0.0,0.0
AST-000111,Server,Operations,0,1,2,Medium,0,0,0.0,0.0,63.28949778701317,1,0,0.8750481535599892,0.7729006369360186,0.9728844232072643,0.873611071234424,0.005847286518046332,0,0.0,0.0,0.0
AST-000112,Server,Sales,0,1,4,High,1,1,7.684823112244919,0.014001790309350419,27.50564662722696,3,0,0.0,0.8209862550146745,0.7693313643515977,0.5301058731220908,0.03209348396904045,0,0.0,0.0,0.0
AST-000113,Cloud_Storage,Operations,0,2,2,High,1,0,3.7868967030473426,0.00521699151321467,4.491668140841575,4,0,0.7100123937052084,0.5940873050464327,0.7986602750410218,0.7009199912642209,0.003656519864127111,0,0.0,0.0,0.0
AST-000114,Network_Device,Engineering,0,3,3,High,3,0,6.40754902142082,0.037453005164322824,32.499491830788756,2,1,0.8685544426846438,0.5802435046873764,0.5143618820940485,0.6543866098220229,0.0026309842928873652,0,0.0,0.0,0.0
AST-000115,Workstation,Sales,1,3,2,High,3,3,8.609553915706284,0.07158367108275938,262.093636796207,16,2,0.6459923275705375,0.43972964385845453,0.85258087052134,0.6461009473167774,0.9519314939352725,1,684983.0851794262,112254.90440409437,84.34112939932578
AST-000116,Network_Device,HR,1,1,3,Medium,2,0,4.054196790566545,0.2080600301202072,12.147102082314678,14,6,0.8659881926255013,0.5385990875174508,0.5762295541730381,0.6602722781053302,0.031747877700946774,0,0.0,0.0,0.0
AST-000117,Network_Device,Engineering,1,1,1,Low,6,0,4.241885622206286,0.3212260430181105,15.8726946528627,19,3,0.3606160412080969,0.6022144156805106,0.7503706114253774,0.5710670227713283,0.07876156789543415,1,51017.52500306634,18306.35315575854,40.75948639248518
AST-000118,Server,Engineering,1,4,3,Critical,2,0,5.132462516617355,0.21582502863618588,1.8261638691060824,16,6,0.0,0.6830288611887186,0.5952016607256418,0.4260768406381201,0.08288883060861268,0,0.0,0.0,0.0
